word,definition
OHMIC,of or pertaining to electrical resistance [adj OHMICALLY]
OILED,"OIL, to lubricate with a greasy substance [v]"
OILER,someone who or something that oils [n -S]
OINKS,"OINK, to grunt like a hog [v]"
OKAPI,an animal like a giraffe but with a short neck and smaller [n -S]
OKAYS,"OKAY, to approve, pass as OK [v]"
OKEHS,"OKEH, an expression of approval, also OKAY [n]"
OKRAS,"OKRA, a tropical plant of the mallow family, with edible pods, aka gumbo [n]"
OKTAS,"OKTA, a unit of cloud-cover, one-eighth sky, also OCTA [n]"
OLDEN,"to grow old [v -ED, -ING, -S]"
OLDER,"OLD, living for a long time [adj]"
OLEIC,pertaining to or derived from oil [adj]
OLEIN,"a glycerine ester of oleic acid, also OLEINE [n -S]"
OLENT,having a smell [adj]
OLIOS,"OLIO, a savoury dish of meat and vegetables [n]"
OLIVE,the small oval fruit of a Mediterranean tree [n -S]
OLLIE,"to perform a certain kind of jump into the air in skateboarding [v OLLIED, OLLIEING, OLLIES]"
OLOGY,a science whose name ends in -ology [n OLOGIES]
OMBRE,"a card game, also OMBER [n -S]"
OMBUS,"OMBU, a type of South American tree [n]"
OMENS,"OMEN, to provide with a prophetic sign [v]"
OMITS,"OMIT, to leave out [v]"
OMOVS,"OMOV, a voting system of one man, one vote [n]"
ONCES,"ONCE, one time [n]"
ONERS,"ONER, something unique [n]"
ONION,"to apply an onion, an edible bulb, to [v -ED, -ING, -S]"
ONIUM,a compound containing ions of the kind with names ending in -onium [n -S]
ONLAY,an artificial veneer for a tooth [n -S]
ONNED,"ON, to go on [v]"
ONSET,a beginning [n -S]
ONTIC,having real existence [adj ONTICALLY]
OOBIT,"a hairy caterpillar, esp. of the tiger moth, also OUBIT, WOOBUT, WOUBIT [n -S]"
OOHED,"OOH, to express surprise [v]"
OOMPH,spirited vigor [n -S]
OOPED,"OOP, to bind with thread, also OUP [v]"
OOTID,one of the four sections into which a mature ovum divides [n -S]
OOZED,"OOZE, to leak slowly [v]"
OOZES,"OOZE, to leak slowly [v]"
OPAHS,"OPAH, a large sea-fish with laterally flattened body, aka sunfish, kingfish [n]"
OPALS,"OPAL, an amorphous variety of silica [n]"
OPENS,"OPEN, to cause to become open [v]"
OPERA,a form of musical drama [n -S]
OPINE,"to hold as an opinion [v OPINED, OPINING, OPINES]"
OPING,"OPE, to open [v]"
OPIUM,an addictive narcotic [n -S]
OPPOS,"OPPO, an opposite number or an opponent [n]"
OPSIN,a protein which forms part of the visual pigment rhodopsin [n -S]
OPTED,"OPT, to decide or choose [v]"
OPTER,someone who opts [n -S]
OPTIC,relating to vision [adj OPTICALLY] / an eye [n -S]
ORACH,"a plant of the goosefoot family, also ORACHE [n -ES]"
ORACY,skill in oral communication [n ORACIES]
ORALS,"ORAL, an oral examination [n]"
ORANT,a representation of a praying figure in early art [n -S]
ORATE,"to speak formally [v ORATED, ORATING, ORATES]"
ORBED,"ORB, to form into a sphere [v]"
ORBIT,"to revolve around [v -ED, -ING, -S]"
ORCAS,"ORCA, a marine mammal, also ORC [n]"
ORCIN,"a chemical compound obtained from archil and other lichens, also ORCINE, ORCINOL [n -S]"
ORDER,"to give a command to [v -ED, -ING, -S]"
ORDOS,"ORDO, an annual religious calendar with instructions for Mass and office for each day [n]"
ORGAN,a musical instrument [n -S]
ORGIC,"of the nature of an orgy, also ORGIAC [adj]"
ORIEL,a projecting bay window supported with corbel or bracket [n -S]
ORLES,"ORLE, a border within a heraldic shield at a short distance from the edge [n]"
ORMER,"a sea snail of rocky coasts, aka abalone [n -S]"
ORPIN,"a yellow pigment of various degrees of intensity, approaching also to red [n -S]"
ORRIS,"the Florentine or other iris; its dried rootstock smelling of violets, used in perfumery, also ORRICE [n -ES]"
ORVAL,a plant of the sage genus [n -S]
OSIER,a species of willow whose twigs are used in making baskets [n -S]
OSMIC,containing osmium in higher valency [adj OSMICALLY]
OSMOL,"a unit of osmotic pressure, also OSMOLE [n -S]"
OTAKU,"in Japan, a young computer nerd [n -S]"
OTARY,a big-eared seal [n OTARIES]
OTHER,"to treat a person as being very different from oneself [v -ED, -ING, -S]"
OTTER,"to fish with a board of baited lines [v -ED, -ING, -S]"
OUBIT,"a hairy caterpillar, esp. of the tiger moth, also OOBIT, WOOBUT, WOUBIT [n -S]"
OUGHT,"to owe [v -ED, -ING, -S]"
OUNCE,"a measurement of weight, 1/16th of a pound, also UNCE [n -S]"
OUPED,"OUP, to bind with thread, also OOP [v]"
OUSEL,"a European bird of the thrush family, also OUZEL, WOOSEL, WOOSELL [n -S]"
OUSTS,"OUST, to expel or remove from a position or place [v]"
OUTDO,"to exceed in performance [v OUTDID, OUTDONE, OUTDOING, OUTDOES]"
OUTED,"OUT, to reveal [v]"
OUTER,a part of an archery target [n -S]
OUTGO,"to go beyond [v OUTWENT, OUTGONE, OUTGOING, OUTGOES]"
OUTRO,an instrumental passage that concludes a piece of music [n -S]
OUTTA,"an informal contraction of out of, also OUTA [prep]"
OUZEL,"a European bird of the thrush family, also OUSEL, WOOSEL, WOOSELL [n -S]"
OVALS,"OVAL, an oval (egg-shaped) figure or object [n]"
OVARY,a female reproduction gland [n OVARIES]
OVATE,"egg-shaped [adj OVATELY] / to receive with an ovation [v OVATED, OVATING, OVATES]"
OVENS,"OVEN, to cook in an oven [v]"
OVERS,"OVER, to go, leap or vault over [v]"
OVERT,open to view [adj OVERTLY]
OVINE,a sheep or similar animal [n -S]
OVIST,a believer that the ovum has the germ of all future generations [n -S]
OVOID,an egg-shaped body [n -S]
OVULE,the structure inside an ovary which contains a female egg cell [n -S]
OWIES,"OWIE, an injury that is not serious [n]"
OWING,"OWE, to be indebted for [v]"
OWLED,"OWL, to smuggle wool or sheep [v]"
OWLER,a smuggler of wool or sheep [n -S]
OWLET,"a young owl, also HOWLET [n -S]"
OWNED,"OWN, to have as a possession [v]"
OWNER,one that owns [n -S]
OXBOW,a pronounced meander or horseshoe-shaped loop in a river [n -S]
OXERS,"OXER, in foxhunting, an ox-fence [n]"
OXEYE,a wild chrysanthemum with a yellow disc and white rays [n -S]
OXIDE,"a compound containing oxygen, also OXID [n -S]"
OXIDS,"OXID, a compound containing oxygen, also OXIDE [n]"
OXIES,"OXY, a powerful analgesic drug, synthesized from thebaine [n]"
OXIME,"any of a number of compounds obtained by the action of hydroxylamine on aldehydes or ketones, also OXIM [n -S]"
OXIMS,"OXIM, any of a number of compounds obtained by the action of hydroxylamine on aldehydes or ketones, also OXIME [n]"
OXLIP,"a flower like the cowslip, also OXSLIP [n -S]"
OZONE,an allotropic form of oxygen present in the atmosphere [n -S]
PAANS,"PAAN, betel leaf [n]"
PACED,"PACE, to walk with measured steps [v]"
PACER,a horse whose gait is a pace [n -S]
PACES,"PACE, to walk with measured steps [v]"
PACEY,"fast, lively, smart, also PACY [adj PACIER, PACIEST]"
PACKS,"PACK, to enclose for transportation or storage [v]"
PACTS,"PACT, an agreement [n]"
PADDY,"a rice field, also PADI [n PADDIES]"
PAGAN,an irreligious person [n -S]
PAGED,"PAGE, to summon by calling by name [v]"
PAGER,"an electronic device, esp. portable, which pages a person, e.g. by means of a bleep, visual display etc. [n -S]"
PAGES,"PAGE, to summon by calling by name [v]"
PAILS,"PAIL, a watertight cylindrical container [n]"
PAINS,"PAIN, to cause suffering or distress [v]"
PAINT,"to apply colour with a brush [v -ED, -ING, -S]"
PAIRS,"PAIR, to arrange in sets of two [v]"
PALED,"PALE, to lose colour [v]"
PALER,"PALE, lacking colour [adj]"
PALES,"PALE, to lose colour [v]"
PALET,"the membranous inner bract of a grass flower, also PALEA [n -S]"
PALLS,"PALL, to grow wearisome [v]"
PALLY,"marked by close friendship [adj PALLIER, PALLIEST] / as in to pally up with, to become friends [v PALLIED, PALLYING, PALLIES]"
PALMS,"PALM, to touch with the inside of the hand [v]"
PALMY,"a stroke on the palm with a strap, also PALMIE [n PALMIES] / marked by prosperity [adj PALMIER, PALMIEST]"
PALPS,"PALP, to sense by touch [v]"
PANDY,"to punish by striking the hand [v PANDIED, PANDYING, PANDIES]"
PANED,"PANE, to insert panels in [v]"
PANEL,"to decorate with thin sheets of material [v PANELED or PANELLED, PANELING or PANELLING, PANELS]"
PANES,"PANE, to insert panels in [v]"
PANGS,"PANG, to inflict a violent but brief pain [v]"
PANIC,"to experience great terror [v PANICKED, PANICKING, PANICS]"
PANIM,"a heathen, also PAYNIM, PAINIM [n -S]"
PANSY,"a name for various species of violet, also PANCE, PAUNCE, PAWNCE [n PANSIES]"
PANTS,"PANT, to breathe quickly and with difficulty [v]"
PANTY,"a woman's or child's undergarment, also PANTIE [n PANTIES]"
PAPAL,of or relating to the Pope or the papacy [adj PAPALLY]
PAPAS,"PAPA, a father [n]"
PAPAW,"a tree of the custard-apple family; its fruit, also PAPAYA, PAWPAW [n -S]"
PAPER,"to cover with a thin sheet material made of cellulose pulp [v -ED, -ING, -S]"
PARCH,"to make very dry [v -ED, -ING, -ES]"
PARDS,"PARD, a leopard, also PARDAL, PARDALE, PARDALIS [n]"
PARED,"PARE, to shave or cut off the outer surface [v]"
PARER,an instrument for paring e.g. apples [n -S]
PARES,"PARE, to shave or cut off the outer surface [v]"
PARGE,"to cover with plaster, also PARGET [v PARGED, PARGING, PARGES]"
PARIS,"a plant, herb Paris, once used as a narcotic [n -ES]"
PARKA,"a fur shirt or coat with a hood, also PARKEE, PARKI [n -S]"
PARKI,"a fur shirt or coat with a hood, also PARKA, PARKEE [n -S]"
PARKS,"PARK, to leave a vehicle in a certain location for a time [v]"
PARLE,"to discuss terms with an enemy, also PARLEY [v PARLED, PARLING, PARLES]"
PAROL,"given by word of mouth, as in parol evidence [adj] / a parole [n -S]"
PARPS,"PARP, to sound a car horn; to toot [v]"
PARRS,"PARR, a young salmon, during its freshwater days [n]"
PARRY,"to ward off a blow [v PARRIED, PARRYING, PARRIES]"
PARSE,"to describe and analyze grammatically [v PARSED, PARSING, PARSES]"
PARTS,"PART, to divide, separate or break [v]"
PARTY,"having a party atmosphere [adj PARTIER, PARTIEST] / to attend a social gathering [v PARTIED, PARTYING, PARTIES]"
PASTA,a food made of dough [n -S]
PASTE,"to fasten with a sticky mixture [v PASTED, PASTING, PASTES]"
PASTS,"PAST, time gone by [n]"
PASTY,"pale and unhealthy in appearance, also PASTIE [adj PASTIER, PASTIEST, PASTILY] / a meat pie, also PASTIE [n PASTIES]"
PATCH,"to mend or cover a hole [v -ED, -ING, -ES]"
PATED,having a pate [adj]
PATEN,"a plate; a metal disk used to hold Communion bread, also PATIN [n -S]"
PATES,"PATE, the top of the head [n]"
PATIO,an outdoor paved area adjoining a house [n -S]
PATKA,a scarf worn as a head-covering by Sikh men in place of a turban [n -S]
PATLY,"PAT, hitting the mark precisely [adv]"
PATSY,a person who is easily fooled [n PATSIES]
PATTY,"a small, flat cake of chopped food, also PATTIE [n PATTIES]"
PAULS,"PAUL, an obsolete papal coin, also PAOLO [n]"
PAUSE,"to stop temporarily [v PAUSED, PAUSING, PAUSES]"
PAVAN,"a slow, stately dance, also PAVIN [n -S]"
PAVED,"PAVE, to cover with material that forms a firm, level surface [v]"
PAVEN,"a stately English Renaissance court dance, also PAVAN, PAVANE, PAVIN [n -S]"
PAVER,"a person who lays paving-stones; a machine for tamping down paving-stones, also PAVIOR, PAVIOUR [n -S]"
PAVES,"PAVE, to cover with material that forms a firm, level surface [v]"
PAVID,afraid; timid [adj]
PAVIN,"a stately English Renaissance court dance, also PAVAN, PAVANE, PAVEN [n -S]"
PAVIS,"a large medieval shield, also PAVISSE, PAVISE [n PAVISES or PAVISSES]"
PAWED,"PAW, to draw the forefoot along the ground [v]"
PAWER,one who paws [n -S]
PAWLS,"PAWL, a lever which engages with a ratchet wheel so as to permit movement in one direction only [n]"
PAWNS,"PAWN, to deposit as security for something borrowed [v]"
PAYED,"PAY, to give money in exchange for goods or services [v]"
PAYEE,one to whom money is paid [n -S]
PAYER,"one who pays, also PAYOR [n -S]"
PAYOR,"one who pays, also PAYER [n -S]"
PEACH,"to inform against someone [v -ED, -ING, -ES]"
PEAKS,"PEAK, to reach a maximum [v]"
PEAKY,"off-colour, unwell [adj PEAKIER, PEAKIEST]"
PEALS,"PEAL, to ring out [v]"
PEANS,"PEAN, to beat with a rounded hammer head, also PEEN, PEIN, PENE [v]"
PEARL,"to adorn with a milky-white concretion of nacre [v -ED, -ING, -S]"
PEARS,"PEAR, a fleshy fruit [n]"
PEART,"active, lively, brisk [adj PEARTER, PEARTEST, PEARTLY]"
PEATS,"PEAT, a substance composed of partially decayed vegetable matter [n]"
PEATY,"of or like peat [adj PEATIER, PEATIEST]"
PEAVY,"a lever used to move logs, also PEAVEY [n PEAVIES]"
PEAZE,"to weigh, also PEISE, PEASE, PEIZE, PEYSE, POYSE [v PEAZED, PEAZING, PEAZES]"
PECKS,"PECK, to strike with a beak [v]"
PECKY,"marked by decay caused by fungi [adj PECKIER, PECKIEST]"
PEDAL,"to operate by means of foot levers [v PEDALED or PEDALLED, PEDALING or PEDALLING, PEDALS]"
PEDES,"PES, a foot or footlike part [n]"
PEDRO,a card game [n -S]
PEEKS,"PEEK, to sneak a sly look [v]"
PEELS,"PEEL, to remove the outer covering of a fruit [v]"
PEENS,"PEEN, to beat with a rounded hammer head, also PEAN, PEIN, PENE [v]"
PEEPS,"PEEP, to cheep like a chicken [v]"
PEERS,"PEER, to look narrowly or searchingly [v]"
PEERY,"a wooden spinning top, also PEERIE [n PEERIES]"
PEEVE,"to irritate [v PEEVED, PEEVING, PEEVES]"
PEGGY,"resembling a peg [adj PEGGIER, PEGGIEST] / a small warbler of various kinds [n PEGGIES]"
PEINS,"PEIN, to beat with a rounded hammer head, also PEEN, PEAN, PENE [v]"
PEISE,"to weigh, also PEASE, PEAZE, PEIZE, PEYSE, POYSE [v PEISED, PEISING, PEISES]"
PEIZE,"to weigh, also PEISE, PEASE, PEAZE, PEYSE, POYSE [v PEIZED, PEIZING, PEIZES]"
PEKAN,a large North American arboreal carnivore of the weasel family; aka fisher [n -S]
PEKES,"PEKE, a small, longhaired dog [n]"
PELAU,"a dish made with meat, rice, and pigeon peas, also PILAF, PILAFF, PILAO, PILAU, PILAW, PILLAU, PILOW, PULAO [n -S]"
PELFS,"PELF, wealth or riches, esp. when dishonestly acquired [n]"
PELLS,"PELL, to strike or thump violently [v]"
PELON,a hairless person or animal [n -S]
PELTS,"PELT, to shower blows or missiles, also PELTER [v]"
PENAL,pertaining to punishment [adj PENALLY]
PENCE,"in the United Kingdom, a new penny [n -S]"
PENDS,"PEND, to remain unsettled or undecided [v]"
PENED,"PENE, to beat with a rounded hammer head, also PEEN, PEAN, PEIN [v]"
PENES,"PENE, to beat with a rounded hammer head, also PEEN, PEAN, PEIN [v]"
PENIS,the male organ used for copulation [n PENISES or PENES]
PENNY,"a coin of the United Kingdom, in pre-decimal coinage, 1/240 of a pound [n PENNIES or PENCE]"
PENTS,"PENT, a penthouse [n]"
PEONY,"a showy flower, also PAEONY, PINY, PIONEY, PIONY [n PEONIES]"
PEPOS,"PEPO, a fruit having a fleshy interior and a hard rind, also PEPONIDA, PEPONIUM [n]"
PERCH,"to sit in an elevated place [v -ED, -ING, -ES]"
PEREA,"PEREON, a crustacean's thorax, also PEREION, PERAEON [n]"
PERIL,"to put in danger, also IMPERIL [v PERILLED or PERILED, PERILLING or PERILING, PERILS]"
PERKS,"PERK, to carry oneself jauntily [v]"
PERKY,"cheerful, lively [adj PERKIER, PERKIEST, PERKILY]"
PERMS,"PERM, to permanent wave the hair [v]"
PERNS,"PERN, to move with a spiralling motion [v]"
PERRY,a beverage of pear juice often fermented [n PERRIES]
PERTS,"PERT, an impudent person [n]"
PERVO,"a pervert, also PERV, PERVE [n -S]"
PERVS,"PERV, to behave as a sexual pervert [v]"
PERVY,"perverted [adj PERVIER, PERVIEST]"
PESKY,"annoying [adj PESKIER, PESKIEST, PESKILY]"
PESTS,"PEST, an annoying person or thing [n]"
PESTY,"annoying [adj PESTIER, PESTIEST]"
PETAL,a leaflike part of a corolla [n -S]
PETER,"to diminish gradually [v -ED, -ING, -S]"
PETRI,"as in petri dish, a shallow glass dish with an overlapping cover used for cultures of bacteria [adj]"
PETTY,"insignificant [adj PETTIER, PETTIEST, PETTILY] / a junior schoolboy [n PETTIES]"
PEWEE,"a small, olive-brown North American bird [n -S]"
PEWIT,"a bird, the lapwing or plover, also PEEWEE, PEEWIT [n -S]"
PEYSE,"to weigh, also PEISE, PEASE, PEAZE, PEIZE, POYSE [v PEYSED, PEYSING, PEYSES]"
PHARE,"a lighthouse or beacon, also PHAROS [n -S]"
PHARM,"to redirect computer users from legitimate websites to counterfeit sites in order to gain confidential information about them [v -ED, -ING, -S]"
PHASE,"to carry out in distinct stages or development [v PHASED, PHASING, PHASES]"
PHEER,"a companion, also FERE, FEARE, FIER, FIERE, PHEERE [n -S]"
PHENE,an old name for the hydrocarbon benzene [n -S]
PHEON,the barbed head of a dart or arrow [n -S]
PHESE,"to unsettle, also FAZE, FEASE, FEAZE, FEESE, FEEZE, PHEESE, PHEEZE [v PHESED, PHESING, PHESES]"
PHIAL,"to keep in a small bottle, also VIAL [v PHIALLED, PHIALLING, PHIALS]"
PHISH,"to engage in phishing, sending email that falsely claims to be from a legitimate organization [v -ED, -ING, -ES]"
PHONE,"to telephone [v PHONED, PHONING, PHONES]"
PHONY,"not genuine or real, also PHONEY [adj PHONIER, PHONIEST, PHONILY] / to alter, so as to appear genuine [v PHONIED, PHONYING, PHONIES]"
PHOTS,"PHOT, a unit of the product of illumination and duration, equal to one lux maintained for one second [n]"
PHPHT,"used as an expression of annoyance, also PHT [interj]"
PHUTS,"PHUT, to make a sound like a bullet [v]"
PIANI,"PIANO, a pianoforte [n]"
PIANO,a pianoforte [n PIANOS] / a soft passage in music [n PIANI]
PIANS,"PIAN, a tropical disease [n]"
PIBAL,a small balloon for determining wind direction and speed [n -S]
PICAL,"relating to pica, a size of type [adj]"
PICAS,"PICA, an old type size, approximately, and still used synonymously for, 12-point [n]"
PICKS,"PICK, to choose [v]"
PICKY,"choosy, fastidious [adj PICKIER, PICKIEST, PICKILY]"
PICRA,a purgative made from aloes and bark [n -S]
PIECE,"to join into a whole [v PIECED, PIECING, PIECES]"
PIEND,an outward pointing angle in a fortification [n -S]
PIERS,"PIER, a structure extending from land out over water [n]"
PIERT,a small plant with small greenish flowers [n -S]
PIETY,"the state of being pious, also PIETISM [n PIETIES]"
PIGGY,"piggish [adj PIGGIER, PIGGIEST] / a small pig, also PIGGIE [n PIGGIES]"
PIGHT,"to pitch (e.g. a tent) [v -ED, -ING, -S]"
PIGMY,"a small person, also PYGMY [n PIGMIES]"
PIING,"PI, to mix type indiscriminately [v]"
PIKAS,"PIKA, any of various small harelike mammals of western North America and central Asia [n]"
PIKED,"PIKE, to pierce with a long spear [v]"
PIKER,"a stingy person, a cautious gambler, or one who does things in a small way [n -S]"
PIKES,"PIKE, to pierce with a long spear [v]"
PIKEY,a derogatory word for a gypsy or vagrant [n -S]
PILAE,"PILA, an anatomical structure like a pillar in form [n]"
PILAR,pertaining to hair [adj]
PILEA,the gunpowder plant [n -S]
PILED,"PILE, to lay one upon the other [v]"
PILER,one who places things in a pile [n -S]
PILES,"PILE, to lay one upon the other [v]"
PILLS,"PILL, to administer small, rounded balls of medicine [v]"
PILOT,"to control the course of [v -ED, -ING, -S]"
PIMAS,"PIMA, a strong, high-grade cotton [n]"
PIMPS,"PIMP, to solicit clients for a prostitute [v]"
PINAS,"PINA, a fine cloth woven of pineapple fibre [n]"
PINCH,"to squeeze between two surfaces [v -ED, -ING, -ES]"
PINED,"PINE, to languish with longing, also PYNE [v]"
PINES,"PINE, to languish with longing, also PYNE [v]"
PINEY,"covered with pine trees, also PINY [adj PINIER, PINIEST]"
PINGS,"PING, to produce a brief, high-pitched sound [v]"
PINKO,a person who is something of a socialist but hardly a red [n -ES or -S]
PINKS,"PINK, to cut a saw-toothed edge on cloth [v]"
PINKY,"somewhat pink [adj PINKIER, PINKIEST] / the little finger, also PINKIE [n PINKIES]"
PINTS,"PINT, a measure of capacity equal to half a quart or 4 gills [n]"
PINUP,a picture that may be pinned on a wall [n -S]
PIONS,"PION, an elementary particle of the meson family [n]"
PIOUS,marked by religious reverence [adj PIOUSLY]
PIPAS,"PIPA, the Surinam toad, noted for its peculiar breeding habits [n]"
PIPED,"PIPE, to convey by means of a hollow cylinder [v]"
PIPER,one who plays the pipes [n -S]
PIPES,"PIPE, to convey by means of a hollow cylinder [v]"
PIPET,"a tube for transferring and measuring fluids, also PIPETTE [n -S]"
PIPIT,one of several lark-like singing birds [n -S]
PIRLS,"PIRL, a ripple [n]"
PISCO,a Peruvian brandy [n -S]
PISKY,"a small fairy, also PIXIE [n PISKIES]"
PISSY,"soiled with urine; inferior, nasty [adj PISSIER, PISSIEST]"
PITHS,"PITH, to sever the central nervous system of [v]"
PITHY,"full of pith, to the point [adj PITHIER, PITHIEST, PITHILY]"
PITOT,a tube used to measure the pressure of a fluid stream [n -S]
PITTA,"a type of slightly leavened bread, originating in the Middle East [n -S]"
PIVOT,"to turn on a shaft or rod [v -ED, -ING, -S]"
PIXEL,a basic unit of a video image [n -S]
PIXES,"PIX, a container for communion bread, also PYX [n]"
PIXIE,"a small fairy, also PISKY [n -S]"
PLAID,"a long piece of twilled woollen cloth, usually with a chequered or tartan pattern, worn over the shoulder as the outer article of the traditional Highland dress [n -S]"
PLAIN,"unadorned [adj PLAINER, PLAINEST, PLAINLY] / to complain [v -ED, -ING, -S]"
PLAIT,"to braid [v -ED, -ING, -S]"
PLANE,"to make smooth and even [v PLANED, PLANING, PLANES]"
PLANK,"to cover with long, flat pieces of timber [v -ED, -ING, -S]"
PLANS,"PLAN, to formulate an idea [v]"
PLANT,"to place in the ground for growing [v -ED, -ING, -S]"
PLAPS,"PLAP, to make a sound like a flat plop [v]"
PLASH,"to weave together [v -ED, -ING, -ES]"
PLASM,"the liquid part of the blood, also PLASMA [n -S]"
PLAST,"PLACE, to assign to a position [v]"
PLATE,"to cover with a thin layer of metal [v PLATED, PLATING, PLATES]"
PLATS,"PLAT, to braid [v]"
PLATT,"in Scots adjectival phrase 'scale and platt', applied to stairs with straight flights and landings [adj]"
PLATY,"split into thin, flat pieces [adj PLATIER, PLATIEST] / a small tropical fish, also PLATYFISH [n PLATIES or PLATYS]"
PLAYS,"PLAY, to engage in recreation [v]"
PLEAD,"to beg for earnestly [v PLED or PLEADED, PLEADING, PLEADS]"
PLEAS,"PLEA, to dispute in a court [v]"
PLEAT,"to fold in an even manner [v -ED, -ING, -S]"
PLEBE,a freshman at a military or naval academy [n -S]
PLEWS,"PLEW, a beaver skin, as a tradable item of value, also PLUE, PLU [n]"
PLIED,"PLY, to bend or fold [v]"
PLIER,"one who plies, also PLYER [n -S]"
PLIMS,"PLIM, to swell, as grain or wood with water [v]"
PLING,"to beg [v -ED, -ING, -S]"
PLINK,"to shoot at a tin can or the like [v -ED, -ING, -S]"
PLODS,"PLOD, to walk heavily [v]"
PLONK,"to fall or drop heavily, also PLUNK, PLOP [v -ED, -ING, -S]"
PLOPS,"PLOP, to fall or drop heavily [v]"
PLOTS,"PLOT, to plan secretly [v]"
PLOWS,"PLOW, to turn soil with a farm implement, also PLOUGH [v]"
PLOYE,a buckwheat pancake [n -S]
PLOYS,"PLOY, to move from a line into column [v]"
PLUCK,"to pull out or off [v -ED, -ING, -S]"
PLUGS,"PLUG, to fill a hole with a material [v]"
PLUMB,"to determine the depth of [v -ED, -ING, -S]"
PLUME,"to cover with feathers [v PLUMED, PLUMING, PLUMES]"
PLUMP,"to make well rounded and full in form [v -ED, -ING, -S] / somewhat fat [adj PLUMPER, PLUMPEST, PLUMPLY]"
PLUMS,"PLUM, a fleshy fruit [n]"
PLUMY,"covered with feathers [adj PLUMIER, PLUMIEST]"
PLUNK,"to twang; to pluck the strings of a harp [v -ED, -ING, -S]"
PLUOT,"a hybrid fruit of plum and apricot, also PLUMCOT [n -S]"
PLUSH,"luxurious [adj PLUSHER, PLUSHEST, PLUSHLY] / a fabric with a long pile [n -ES]"
PLUTO,"to reduce in importance [v PLUTOED, PLUTOING, PLUTOS or PLUTOES]"
PLYER,"one who plies, also PLIER [n -S]"
POACH,"to trespass to hunt game [v -ED, -ING, -ES]"
POBOY,a New Orleans sandwich [n -S]
POCKS,"POCK, to pit the skin [v]"
POCKY,"covered with pock marks [adj POCKIER, POCKIEST, POCKILY]"
PODAL,"of the feet, also PODALIC [adj]"
PODDY,"a young calf [n PODDIES] / corpulent [adj PODDIER, PODDIEST]"
PODGE,"a short, thickset person, also PUDGE [n -S]"
PODGY,"short and fat, also PUDGY, PUDSEY, PUDSY [adj PODGIER, PODGIEST, PODGILY]"
POEMS,"POEM, a composition in verse [n]"
POESY,"to utter poetry [v POESIED, POESYING, POESIES]"
POETS,"POET, one who writes poems [n]"
POGGE,"the armed bullhead, a bony-plated fish [n -S]"
POHED,"POH, to reject contemptuously [v]"
POINT,"to indicate direction with the finger [v -ED, -ING, -S]"
POISE,"to hold in a state of equilibrium [v POISED, POISING, POISES]"
POKED,"POKE, to prod [v]"
POKER,one that pokes [n -S]
POKES,"POKE, to prod [v]"
POKEY,"confined, also POKY [adj POKIER, POKIEST, POKILY] / jail [n -S]"
POKIE,a poker machine [n -S]
POLAR,a straight line related to a point [n -S]
POLED,"POLE, to propel with a long stick [v]"
POLES,"POLE, to propel with a long stick [v]"
POLIO,an infectious virus disease [n -S]
POLJE,"(Serbo-Croat) a large elliptical depression in karst regions, sometimes containing a marsh or lake [n -S]"
POLKS,"POLK, to dance a polka [v]"
POLLS,"POLL, to assess public opinion votes [v]"
POLLY,a type of mineral water [n POLLIES]
POLOS,"POLO, a game played on horseback [n]"
POLTS,"POLT, to strike, thump [v]"
POLYP,"an octopus or cuttlefish, later extended to various other marine animals, also POLYPE, POULP, POULPE [n -S]"
POMES,"POME, any fruit of the apple family e.g. apple, quince [n]"
POMPS,"POMP, stately or splendid display [n]"
PONCE,"a man who lives on the immoral earnings of a prostitute [n -S] / to live on immoral earnings [v PONCED, PONCING, PONCES]"
PONCY,"effeminate, also PONCEY [adj PONCIER, PONCIEST]"
PONDS,"POND, to collect water in a small depression [v]"
PONES,"PONE, a kind of corn bread [n]"
PONEY,"a small horse, also PONY, POWNEY, POWNIE, POWNY [n -S]"
PONGO,any large ape; esp. the chimpanzee and the orang-outang [n -ES or -S]
PONGS,"PONG, to stink, also PONK [v]"
PONKS,"PONK, to smell bad, also PONG [v]"
PONTS,"PONT, in South Africa, a small ferryboat guided across a narrow stretch of water by a rope or cable [n]"
PONTY,"an iron rod used in holding and manipulating glassware during manufacture, also PONTIE, PONTIL, PONTILE, PUNTEE, PUNTY [n PONTIES]"
POOCH,"to bulge [v -ED, -ING, -ES]"
POOHS,"POOH, to express contempt for [v]"
POOLS,"POOL, to contribute to a common fund [v]"
POOPS,"POOP, to tire out [v]"
POOPY,"stupid or ineffectual [adj POOPIER, POOPIEST]"
POPES,"POPE, a small freshwater fish, aka ruffe [n]"
POPSY,"a girlfriend, also POPSIE [n POPSIES]"
PORAL,pertaining to pores [adj]
PORCH,a low structure projecting from the doorway of a house and forming a covered entrance [n -ES]
PORED,"PORE, to examine closely [v]"
PORER,one who pores [n -S]
PORES,"PORE, to examine closely [v]"
PORGE,"in Jewish ritual, to cleanse a slaughtered animal by removing the forbidden parts [v PORGED, PORGING, PORGES]"
PORGY,"a species of saltwater fish, aka sea-bream, also PORGIE [n PORGIES]"
PORIN,any of a class of proteins through which molecules can diffuse [n -S]
PORKS,"PORK, to eat ravenously [v]"
PORKY,"plump like a pig [adj PORKIER, PORKIEST] / a lie [n PORKIES]"
PORNO,"pornography, also PORN [n -S]"
PORNS,"PORN, pornography, also PORNO [n]"
